Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-05-18 02:25,HSL,29223.25,3,175227,109.38,0.06,3.12,125.94,0.07,-16.56,-0.01,109.38,0.01,0
1,Entry long,2026-05-18 02:25,L,29204.5,3,175227,109.38,0.06,3.12,125.94,0.07,-16.56,-0.01,109.38,0.01,0
2,Exit short,2026-05-18 08:45,HSS,29005,2,116342,319.92,0.27,2.08,330.96,0.28,-46.04,-0.04,429.3,0.04,0
2,Entry short,2026-05-18 08:45,S,29085.5,2,116342,319.92,0.27,2.08,330.96,0.28,-46.04,-0.04,429.3,0.04,0
3,Exit short,2026-05-18 19:20,HSS,28997.75,3,174201,211.38,0.12,3.12,227.94,0.13,-31.56,-0.02,640.68,0.06,0
3,Entry short,2026-05-18 19:20,S,29033.5,3,174201,211.38,0.12,3.12,227.94,0.13,-31.56,-0.02,640.68,0.06,0
4,Exit short,2026-05-19 03:15,HSS,28931.25,3,173824.5,233.88,0.13,3.12,250.44,0.14,-25.56,-0.01,874.56,0.09,0
4,Entry short,2026-05-19 03:15,S,28970.75,3,173824.5,233.88,0.13,3.12,250.44,0.14,-25.56,-0.01,874.56,0.09,0
5,Exit short,2026-05-19 08:25,HSS,28691,2,114907,140.92,0.12,2.08,151.96,0.13,-114.04,-0.10,1015.48,0.10,0
5,Entry short,2026-05-19 08:25,S,28726.75,2,114907,140.92,0.12,2.08,151.96,0.13,-114.04,-0.10,1015.48,0.10,0
6,Exit short,2026-05-19 16:30,HSS,28872,3,173247,11.88,0.01,3.12,28.44,0.02,-10.56,-0.01,1027.36,0.10,0
6,Entry short,2026-05-19 16:30,S,28874.5,3,173247,11.88,0.01,3.12,28.44,0.02,-10.56,-0.01,1027.36,0.10,0
7,Exit long,2026-05-20 02:25,HSL,29093,3,174522,32.88,0.02,3.12,49.44,0.03,-163.56,-0.09,1060.24,0.11,1
7,Entry long,2026-05-20 02:20,L,29087,3,174522,32.88,0.02,3.12,49.44,0.03,-163.56,-0.09,1060.24,0.11,1
8,Exit long,2026-05-20 09:15,HSL,29393,2,117055,514.92,0.44,2.08,525.96,0.45,-130.04,-0.11,1575.16,0.16,3
8,Entry long,2026-05-20 09:00,L,29263.75,2,117055,514.92,0.44,2.08,525.96,0.45,-130.04,-0.11,1575.16,0.16,3
9,Exit long,2026-05-20 20:15,HSL,29374.5,3,175887,356.88,0.20,3.12,373.44,0.21,-16.56,-0.01,1932.04,0.19,3
9,Entry long,2026-05-20 20:00,L,29314.5,3,175887,356.88,0.20,3.12,373.44,0.21,-16.56,-0.01,1932.04,0.19,3
